name,runs1,runs2,runs3,runs4,total_runs,outs_1,singles_1,doubles_1,triples_1,homeruns_1,total_at_bats1,outs_2,singles_2,doubles_2,triples_2,homeruns_2,total_at_bats2,outs_3,singles_3,doubles_3,triples_3,homeruns_3,total_at_bats3,outs_4,singles_4,doubles_4,triples_4,homeruns_4,total_at_bats4,total_at_bats,total_homeruns,total_outs
Grandberg Fir Peaks,5,0,0,5,10,4.0,0.0,2.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0
Florence Nightingales,7,5,6,6,24,0.0,0.0,3.0,3.0,2.0,8.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,3.0,1.0,1.0,2.0,7.0,2.0,0.0,1.0,2.0,3.0,8.0,28.0,11.0,2.0
Gruberton Groupers,3,0,16,10,29,3.0,1.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,6.0,18.0,2.0,1.0,6.0,2.0,2.0,13.0,0.0,0.0,0.0
Hughville Wagoneers,7,6,5,6,24,4.0,3.0,2.0,3.0,1.0,13.0,1.0,1.0,4.0,2.0,0.0,8.0,3.0,0.0,1.0,3.0,1.0,8.0,0.0,1.0,2.0,2.0,2.0,7.0,36.0,4.0,8.0
Jacksonville Jackrabbits,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorlette Coordinators,7,4,7,12,30,3.0,3.0,3.0,1.0,2.0,12.0,2.0,1.0,1.0,0.0,2.0,6.0,3.0,2.0,4.0,1.0,2.0,12.0,0.0,3.0,4.0,3.0,3.0,13.0,43.0,9.0,8.0
Knowlton Knolls,0,8,0,0,8,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawless Mappers,4,2,2,0,8,0.0,1.0,1.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madsburg Avocados,0,5,1,4,10,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,6.0,2.0,2.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0,2.0,7.0,20.0,4.0,7.0
Marbraska Whitings,4,0,0,4,8,1.0,2.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0
Megtown Senders,8,11,7,2,28,4.0,6.0,4.0,2.0,0.0,16.0,0.0,4.0,3.0,0.0,4.0,11.0,2.0,4.0,2.0,2.0,1.0,11.0,0.0,1.0,0.0,2.0,0.0,3.0,41.0,5.0,6.0
